player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards
00-0036005,N.Togiai,TE,PHI,2022,25.15,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0
00-0036008,H.Bryant,TE,DET,2020,22.03,3,0,0,0,0,0,0,0,0,3,1,44,0,5.4,44
00-0036020,S.Ahmed,RB,MIA,2020,21.67,6,0,0,0,0,0,75,319,3,14,11,61,0,69.0,380
00-0036020,S.Ahmed,RB,MIA,2021,22.67,11,0,0,0,0,0,54,149,0,19,12,117,0,38.6,266
00-0036020,S.Ahmed,RB,MIA,2022,23.67,6,0,0,0,0,0,12,64,1,1,1,8,0,14.200000000000001,72
00-0036020,S.Ahmed,RB,MIA,2023,24.67,7,0,0,0,0,0,22,61,1,23,16,88,1,42.9,149
00-0036032,S.McKeon,TE,DAL,2020,22.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0036032,S.McKeon,TE,DAL,2021,23.68,5,0,0,0,0,0,0,0,0,6,4,27,1,12.7,27
00-0036032,S.McKeon,TE,DAL,2022,24.68,3,0,0,0,0,0,0,0,0,3,2,11,0,3.1,11
00-0036032,S.McKeon,TE,DAL,2023,25.68,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0
00-0036033,S.Olonilua,RB,DAL,2020,22.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
00-0036040,J.Johnson,TE,NO,2020,23.97,5,0,0,0,0,0,0,0,0,10,4,39,0,7.9,39
00-0036040,J.Johnson,TE,NO,2021,24.97,13,0,0,0,0,0,0,0,0,22,13,159,4,52.900000000000006,159
00-0036040,J.Johnson,TE,NO,2022,25.97,16,0,0,0,0,0,0,0,0,65,42,508,7,134.8,508
00-0036040,J.Johnson,TE,NO,2023,26.97,13,0,0,0,0,0,0,0,0,59,37,368,4,97.8,368
00-0036040,J.Johnson,TE,NO,2024,27.97,15,0,0,0,0,0,0,0,0,66,50,548,3,122.80000000000001,548
00-0036040,J.Johnson,TE,NO,2025,28.97,17,0,0,0,0,0,0,0,0,102,77,889,3,179.9,889
00-0036059,T.Mabry,TE,SEA,2022,25.78,1,0,0,0,0,0,0,0,0,1,1,7,1,7.7,7
00-0036069,S.Phillips,RB,HOU,2020,22.9,1,0,0,0,0,0,2,9,0,1,1,7,0,2.6,16
