player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards,birth_date
00-0036929,I.Book,QB,NO,2021,23.42,1,12,20,135.0,0,2.0,3,6.0,0,0,0,0.0,0,2.0,6.0,1998-03-30
00-0034857,J.Allen,QB,BUF,2019,23.28,17,295,507,3353.0,20,9.0,118,602.0,9,1,1,16.0,1,314.92,618.0,1996-05-21
00-0034857,J.Allen,QB,BUF,2020,24.28,19,473,692,5361.0,42,11.0,127,566.0,9,1,1,12.0,1,467.24,578.0,1996-05-21
00-0034857,J.Allen,QB,BUF,2021,25.28,19,457,708,5044.0,45,15.0,139,897.0,6,0,0,0.0,0,479.46,897.0,1996-05-21
00-0034857,J.Allen,QB,BUF,2022,26.28,18,407,648,4899.0,38,17.0,136,808.0,8,0,0,0.0,0,434.76,808.0,1996-05-21
00-0034857,J.Allen,QB,BUF,2023,27.28,19,432,648,4695.0,33,18.0,131,670.0,18,0,0,0.0,0,458.8,670.0,1996-05-21
00-0034857,J.Allen,QB,BUF,2024,28.28,19,365,565,4367.0,32,6.0,131,636.0,14,0,0,0.0,0,438.28,636.0,1996-05-21
00-0033119,J.Brissett,QB,IND,2019,26.72,15,272,447,2942.0,18,6.0,56,228.0,4,1,1,2.0,0,217.68,230.0,1992-12-11
00-0033119,J.Brissett,QB,IND,2020,27.72,12,2,8,17.0,0,0.0,18,19.0,3,0,0,0.0,0,20.58,19.0,1992-12-11
00-0033119,J.Brissett,QB,MIA,2021,28.72,10,141,225,1283.0,5,4.0,19,70.0,1,0,0,0.0,0,72.32,70.0,1992-12-11
00-0033119,J.Brissett,QB,CLE,2022,29.72,14,236,369,2608.0,12,6.0,49,243.0,2,0,0,0.0,0,168.62,243.0,1992-12-11
00-0033119,J.Brissett,QB,WAS,2023,30.72,2,18,23,224.0,3,0.0,3,19.0,0,0,0,0.0,0,22.86,19.0,1992-12-11
00-0033119,J.Brissett,QB,NE,2024,31.72,7,95,161,826.0,2,1.0,15,62.0,0,0,0,0.0,0,45.24,62.0,1992-12-11
00-0035100,J.Browning,QB,CIN,2023,27.39,9,171,243,1936.0,12,7.0,27,127.0,3,1,1,-7.0,0,144.44,120.0,1996-04-11
00-0035100,J.Browning,QB,CIN,2024,28.39,2,0,0,0.0,0,0.0,2,-2.0,0,0,0,0.0,0,-0.2,-2.0,1996-04-11
00-0036442,J.Burrow,QB,CIN,2020,23.73,10,264,404,2688.0,13,5.0,37,142.0,3,0,0,0.0,0,173.72,142.0,1996-12-10
00-0036442,J.Burrow,QB,CIN,2021,24.73,20,463,662,5716.0,39,16.0,51,149.0,2,0,0,0.0,0,379.54,149.0,1996-12-10
00-0036442,J.Burrow,QB,CIN,2022,25.73,19,486,715,5196.0,39,14.0,90,327.0,6,0,0,0.0,0,406.54,327.0,1996-12-10
00-0036442,J.Burrow,QB,CIN,2023,26.73,10,244,365,2309.0,15,6.0,31,88.0,0,0,0,0.0,0,147.16,88.0,1996-12-10
00-0036442,J.Burrow,QB,CIN,2024,27.73,17,460,652,4918.0,43,9.0,42,201.0,2,0,0,0.0,0,372.82,201.0,1996-12-10
00-0039910,J.Daniels,QB,WAS,2024,23.7,20,406,594,4390.0,30,10.0,183,1026.0,7,0,0,0.0,0,428.19998,1026.0,2000-12-18
00-0033949,J.Dobbs,QB,PIT,2020,25.6,1,4,5,2.0,0,0.0,2,20.0,0,0,0,0.0,0,2.08,20.0,1995-01-26
00-0033949,J.Dobbs,QB,TEN,2022,27.6,2,40,68,411.0,2,2.0,8,44.0,0,0,0,0.0,0,20.84,44.0,1995-01-26
00-0033949,J.Dobbs,QB,ARI,2023,28.6,13,262,417,2464.0,13,10.0,77,421.0,6,0,0,0.0,0,202.66,421.0,1995-01-26
00-0033949,J.Dobbs,QB,SF,2024,29.6,2,32,47,361.0,2,2.0,9,24.0,2,0,0,0.0,0,30.84,24.0,1995-01-26
